Applied potential (V);WE current (A);WE current (A);WE current (A)
0.046236324;3.63998e-10;-2.1279900000000002e-10;-5.767970000000001e-10
0.050978512000000004;3.8079800000000005e-10;-2.5199800000000004e-10;-6.32797e-10
0.055720696;3.2479800000000004e-10;-3.0239800000000004e-10;-6.27197e-10
0.060462884;2.79998e-10;-3.63998e-10;-6.43997e-10
0.065205068;2.35198e-10;-3.86398e-10;-6.215970000000001e-10
0.069947256;1.5119900000000002e-10;-3.7519800000000004e-10;-5.26397e-10
0.074689448;7.279968800000001e-11;-3.5279800000000005e-10;-4.2559800000000004e-10
0.079431632;5.599993e-12;-2.91198e-10;-2.9679800000000003e-10
0.08417382400000001;-4.4799792000000006e-11;-2.35198e-10;-1.9039900000000003e-10
0.08891600000000001;-5.0399784000000006e-11;-1.5119900000000002e-10;-1.0079900000000001e-10
0.093658192;-2.2399902000000003e-11;-7.279968800000001e-11;-5.0399784000000006e-11
0.09840038400000001;-5.599976e-12;-1.6799928e-11;-1.1199952e-11
0.103142;-1.6799928e-11;5.599976e-12;2.2399904e-11
0.107884;-3.3599856e-11;2.7999880000000002e-11;6.1599736e-11
0.11262599999999999;-6.1599736e-11;3.9199832000000004e-11;1.0079900000000001e-10
0.117369;-8.959962400000001e-11;4.4799808e-11;1.3439900000000001e-10
0.122111;-1.11999e-10;5.0399784000000006e-11;1.6239900000000002e-10
0.126853;-1.3439900000000001e-10;5.5999760000000004e-11;1.9039900000000003e-10
0.131595;-1.56799e-10;7.279968800000001e-11;2.2959800000000002e-10
0.13633699999999999;-1.67999e-10;1.0079900000000001e-10;2.6879800000000003e-10
0.14107999999999998;-1.56799e-10;1.56799e-10;3.13598e-10
0.145822;-1.3439900000000001e-10;2.35198e-10;3.6959800000000003e-10
0.150564;-7.279968800000001e-11;3.4719800000000003e-10;4.1999800000000003e-10
0.155306;0.0;4.5359800000000005e-10;4.5359800000000005e-10
0.160048;6.719975200000001e-11;5.31997e-10;4.64797e-10
0.164791;1.3439900000000001e-10;5.87997e-10;4.5359800000000005e-10
0.169533;2.18399e-10;6.383970000000001e-10;4.1999800000000003e-10
0.17427499999999999;3.1919800000000003e-10;6.71997e-10;3.5279800000000005e-10
0.17901699999999998;4.1999800000000003e-10;6.943960000000001e-10;2.7439800000000004e-10
0.18375899999999998;5.03997e-10;6.943960000000001e-10;1.9039900000000003e-10
0.188501;5.487970000000001e-10;6.60797e-10;1.11999e-10
0.193244;5.43197e-10;5.935970000000001e-10;5.0399784000000006e-11
0.197986;4.81597e-10;5.03997e-10;2.2399904e-11
0.202728;3.9759800000000004e-10;4.0319800000000005e-10;5.599976e-12
0.20747;3.13598e-10;3.0239800000000004e-10;-1.1199952e-11
0.21221199999999998;2.63198e-10;2.2399900000000002e-10;-3.9199832000000004e-11
0.21695499999999998;2.2399900000000002e-10;1.56799e-10;-6.7199712e-11
0.22169699999999998;1.9039900000000003e-10;9.51996e-11;-9.51996e-11
0.226439;1.7359900000000002e-10;5.0399784000000006e-11;-1.2319900000000002e-10
0.231181;1.56799e-10;1.1199952e-11;-1.45599e-10
0.235923;1.5119900000000002e-10;-2.2399904e-11;-1.7359900000000002e-10
0.240666;1.2319900000000002e-10;-6.7199712e-11;-1.9039900000000003e-10
0.245408;1.0639900000000001e-10;-1.11999e-10;-2.18399e-10
0.25015;9.5199576e-11;-1.39999e-10;-2.35198e-10
0.254892;1.0639900000000001e-10;-1.3439900000000001e-10;-2.40798e-10
0.259634;1.28799e-10;-1.0639900000000001e-10;-2.35198e-10
0.264376;1.5119900000000002e-10;-6.1599736e-11;-2.1279900000000002e-10
0.269119;1.5119900000000002e-10;-1.6799928e-11;-1.67999e-10
0.27386099999999997;1.39999e-10;2.2399904e-11;-1.17599e-10
0.278603;1.17599e-10;6.7199712e-11;-5.0399784000000006e-11
0.283345;8.9599616e-11;1.0079900000000001e-10;1.1199952e-11
0.288087;5.0399784000000006e-11;1.11999e-10;6.1599736e-11
0.29283;5.0399792000000004e-11;1.3439900000000001e-10;8.399964e-11
0.297572;2.2399902000000003e-11;1.2319900000000002e-10;1.0079900000000001e-10
0.30231399999999997;1.1199944e-11;1.17599e-10;1.0639900000000001e-10
Applied potential (V);WE current (A);WE current (A);WE current (A)
0.29994299999999996;-2.18399e-10;4.1999800000000003e-10;6.383970000000001e-10
0.295201;-1.6239900000000002e-10;4.4239800000000003e-10;6.047970000000001e-10
0.290458;-9.519963200000001e-11;4.36798e-10;5.31997e-10
0.28571599999999997;-2.2399888e-11;4.08798e-10;4.3119800000000006e-10
0.280974;2.7999882000000003e-11;3.4719800000000003e-10;3.1919800000000003e-10
0.276232;5.5999748000000004e-11;2.63198e-10;2.07199e-10
0.27149;5.0399784000000006e-11;1.67999e-10;1.17599e-10
0.266748;5.0399788e-11;1.0639900000000001e-10;5.5999760000000004e-11
0.262005;1.6799928e-11;5.0399784000000006e-11;3.3599856e-11
0.25726299999999996;1.1199952e-11;0.0;-1.1199952e-11
0.252521;4.4799812000000004e-11;-2.2399904e-11;-6.7199712e-11
0.247779;6.159974400000001e-11;-4.4799808e-11;-1.0639900000000001e-10
0.24303699999999998;8.399964e-11;-6.7199712e-11;-1.5119900000000002e-10
0.23829399999999998;1.11999e-10;-8.399964e-11;-1.95999e-10
0.23355199999999998;1.2319900000000002e-10;-9.51996e-11;-2.18399e-10
0.22880999999999999;1.3439900000000001e-10;-1.0639900000000001e-10;-2.40798e-10
0.224068;1.11999e-10;-1.45599e-10;-2.57598e-10
0.219326;7.279970400000001e-11;-1.95999e-10;-2.6879800000000003e-10
0.214583;1.6799924e-11;-2.57598e-10;-2.7439800000000004e-10
0.209841;-3.919984e-11;-3.30398e-10;-2.91198e-10
0.205099;-1.2319900000000002e-10;-4.2559800000000004e-10;-3.0239800000000004e-10
0.20035699999999998;-1.95999e-10;-4.98397e-10;-3.0239800000000004e-10
0.19561499999999998;-2.6879800000000003e-10;-5.31997e-10;-2.63198e-10
0.190873;-3.5279800000000005e-10;-5.54397e-10;-2.0159900000000002e-10
0.18613;-4.3119800000000006e-10;-5.71197e-10;-1.39999e-10
0.181388;-5.03997e-10;-5.767970000000001e-10;-7.279968800000001e-11
0.176646;-5.26397e-10;-5.487970000000001e-10;-2.2399904e-11
0.171904;-4.70397e-10;-4.927970000000001e-10;-2.2399904e-11
0.167162;-3.86398e-10;-3.91998e-10;-5.599976e-12
0.16241899999999998;-3.13598e-10;-2.91198e-10;2.2399904e-11
0.15767699999999998;-2.40798e-10;-2.0159900000000002e-10;3.9199832000000004e-11
0.152935;-1.79199e-10;-1.2319900000000002e-10;5.5999760000000004e-11
0.148193;-1.45599e-10;-7.279968800000001e-11;7.279968800000001e-11
0.143451;-1.2319900000000002e-10;-3.3599856e-11;8.9599616e-11
0.138708;-1.11999e-10;0.0;1.11999e-10
0.133966;-1.17599e-10;2.7999880000000002e-11;1.45599e-10
0.129224;-1.11999e-10;6.7199712e-11;1.79199e-10
0.124482;-1.0639900000000001e-10;1.0639900000000001e-10;2.1279900000000002e-10
0.11974;-1.0639900000000001e-10;1.39999e-10;2.4639800000000003e-10
0.11499799999999999;-1.28799e-10;1.56799e-10;2.85598e-10
0.11025499999999999;-1.56799e-10;1.6239900000000002e-10;3.1919800000000003e-10
0.105513;-1.79199e-10;1.5119900000000002e-10;3.30398e-10
0.100771;-2.0159900000000002e-10;1.3439900000000001e-10;3.35998e-10
0.096029288;-2.07199e-10;1.11999e-10;3.1919800000000003e-10
0.09128709600000001;-9.51996e-11;2.18399e-10;3.13598e-10
0.08654492000000001;-1.56799e-10;8.9599616e-11;2.4639800000000003e-10
0.081802728;-5.0399776e-11;6.7199712e-11;1.17599e-10
0.077060536;-5.0399784000000006e-11;-3.3599856e-11;1.6799928e-11
0.072318352;-2.2399902000000003e-11;-8.9599616e-11;-6.7199712e-11
0.067576168;-5.599972e-12;-1.0079900000000001e-10;-9.51996e-11
0.06283398;0.0;-9.51996e-11;-9.51996e-11
0.058091792;-5.599979e-12;-1.3439900000000001e-10;-1.28799e-10
0.05334960800000001;2.7999882000000003e-11;-1.28799e-10;-1.56799e-10
0.048607416;1.1199944e-11;-1.6239900000000002e-10;-1.7359900000000002e-10
0.043865232000000004;2.7999882000000003e-11;-1.67999e-10;-1.95999e-10
0.039123044;4.4799804000000006e-11;-1.79199e-10;-2.2399900000000002e-10
0.034380856;7.279968800000001e-11;-1.8479900000000002e-10;-2.57598e-10
0.029638670000000002;9.51996e-11;-2.0159900000000002e-10;-2.9679800000000003e-10
0.024896482;1.0079900000000001e-10;-2.40798e-10;-3.41598e-10
0.020154296000000002;9.5199576e-11;-2.9679800000000003e-10;-3.91998e-10
0.015412108;7.279968800000001e-11;-3.7519800000000004e-10;-4.4799800000000004e-10
0.010669921;1.6799952e-11;-4.70397e-10;-4.87197e-10
0.005927733;-5.03998e-11;-5.655970000000001e-10;-5.15197e-10
0.001185546;-1.0079900000000001e-10;-6.383970000000001e-10;-5.375970000000001e-10
-0.0035566400000000002;-1.5119900000000002e-10;-6.943960000000001e-10;-5.43197e-10
-0.008298827;-2.18399e-10;-7.391960000000001e-10;-5.207970000000001e-10
-0.013041015000000001;-2.85598e-10;-7.55996e-10;-4.70397e-10
