Applied potential (V);WE current (A);WE current (A);WE current (A)
-0.29994299999999996;-3.7015830000000005e-09;-3.7183830000000003e-09;-1.6799928e-11
-0.295201;-3.7239830000000003e-09;-3.2591850000000003e-09;4.64797e-10
-0.290458;-3.796783e-09;-2.682388e-09;1.114395e-09
-0.28571599999999997;-3.925582000000001e-09;-2.004791e-09;1.9207910000000003e-09
-0.280974;-3.947982e-09;-1.3831930000000002e-09;2.5647880000000004e-09
-0.276232;-3.975982e-09;-7.951960000000001e-10;3.180786e-09
-0.27149;-4.009582e-09;1.0079900000000001e-10;4.110381e-09
-0.266748;-3.4047850000000003e-09;1.231994e-09;4.636779e-09
-0.262005;-3.6175830000000004e-09;1.937591e-09;5.555175e-09
-0.25726299999999996;-3.4327840000000003e-09;2.5983880000000004e-09;6.031173e-09
-0.252521;-3.035186e-09;3.186386e-09;6.221572e-09
-0.247779;-2.710387e-09;3.8079830000000005e-09;6.518371000000001e-09
-0.24303699999999998;-2.4639890000000004e-09;4.37918e-09;6.8431690000000006e-09
-0.23829399999999998;-2.2007900000000002e-09;4.916778000000001e-09;7.117568000000001e-09
-0.23355199999999998;-1.909591e-09;5.482375e-09;7.391967e-09
-0.22880999999999999;-1.551193e-09;6.215972e-09;7.767165e-09
-0.224068;-1.310394e-09;6.78157e-09;8.091964e-09
-0.219326;-1.091995e-09;7.067168e-09;8.159164000000001e-09
-0.214583;-9.911950000000001e-10;7.106368000000001e-09;8.097564e-09
-0.209841;-6.215960000000001e-10;7.363967000000001e-09;7.985564000000001e-09
-0.205099;-1.95998e-10;7.582367000000001e-09;7.778365e-09
-0.20035699999999998;1.7919800000000002e-10;7.767165e-09;7.587967000000001e-09
-0.19561499999999998;5.15197e-10;7.901565e-09;7.386367e-09
-0.190873;8.791960000000001e-10;8.030365e-09;7.1511680000000004e-09
-0.18613;1.4895930000000002e-09;8.483962000000001e-09;6.994369000000001e-09
-0.181388;1.6799920000000001e-09;8.349563e-09;6.6695700000000006e-09
-0.176646;1.7247920000000002e-09;8.114364000000001e-09;6.389571e-09
-0.171904;1.847991e-09;7.722366e-09;5.874374e-09
-0.167162;2.2399900000000002e-09;7.795165000000001e-09;5.555175e-09
-0.16241899999999998;2.475188e-09;7.537566e-09;5.062377e-09
-0.15767699999999998;2.5535880000000003e-09;7.179168000000001e-09;4.625579e-09
-0.152935;2.9007860000000002e-09;6.932769000000001e-09;4.031982e-09
-0.148193;3.147186e-09;6.501571000000001e-09;3.354385e-09
-0.143451;3.2983850000000003e-09;6.176772000000001e-09;2.8783870000000003e-09
-0.138708;3.2647850000000003e-09;5.611175e-09;2.3463890000000003e-09
-0.133966;3.5055840000000002e-09;5.213577e-09;1.707992e-09
-0.129224;3.673583e-09;4.737579000000001e-09;1.0639950000000001e-09
-0.124482;3.880782e-09;4.222381e-09;3.41598e-10
-0.11974;4.059981e-09;3.729583e-09;-3.30398e-10
-0.11499799999999999;4.211181e-09;3.1919860000000002e-09;-1.019195e-09
-0.11025499999999999;4.39038e-09;2.5983880000000004e-09;-1.7919920000000002e-09
-0.105513;4.3847810000000006e-09;2.0271910000000002e-09;-2.357589e-09
-0.100771;4.328781000000001e-09;1.3943930000000001e-09;-2.934387e-09
-0.096029288;4.356780000000001e-09;9.35195e-10;-3.421584e-09
-0.09128709600000001;4.076782000000001e-09;2.2399900000000002e-10;-3.852783e-09
-0.08654492000000001;3.813582e-09;-6.27197e-10;-4.44078e-09
-0.081802728;3.5503840000000003e-09;-1.4727930000000002e-09;-5.023178e-09
-0.077060536;3.354385e-09;-2.363189e-09;-5.717574e-09
-0.072318352;3.287185e-09;-2.8111870000000004e-09;-6.098373000000001e-09
-0.067576168;2.928787e-09;-3.427184e-09;-6.355972e-09
-0.06283398;2.721588e-09;-4.4127800000000006e-09;-7.134368e-09
-0.058091792;2.5983880000000004e-09;-4.591979000000001e-09;-7.190368000000001e-09
-0.05334960800000001;2.2119900000000003e-09;-4.989578000000001e-09;-7.201568e-09
-0.048607416;1.875991e-09;-5.448776e-09;-7.3247670000000004e-09
-0.043865232000000004;1.7415920000000002e-09;-5.835174000000001e-09;-7.576767e-09
-0.039123044;1.3887940000000002e-09;-6.182372000000001e-09;-7.571167e-09
-0.034380856;1.0807940000000002e-09;-6.479171e-09;-7.559966e-09
-0.029638670000000002;6.775960000000001e-10;-6.848769000000001e-09;-7.526366e-09
-0.024896482;4.14397e-10;-7.022369000000001e-09;-7.436767000000001e-09
-0.020154296000000002;-7.839996000000001e-11;-7.2295680000000005e-09;-7.1511680000000004e-09
-0.015412108;-4.0319800000000005e-10;-7.358367000000001e-09;-6.955169e-09
-0.010669921;-8.28796e-10;-7.565566e-09;-6.7367700000000005e-09
-0.005927733;-9.79995e-10;-7.436767000000001e-09;-6.456771e-09
-0.001185546;-1.215194e-09;-7.352767000000001e-09;-6.1375730000000005e-09
0.0035566400000000002;-1.371993e-09;-7.184768000000001e-09;-5.8127740000000004e-09
0.008298827;-1.500793e-09;-6.9887690000000006e-09;-5.487975e-09
0.013041015000000001;-1.6799920000000001e-09;-6.764770000000001e-09;-5.0847770000000006e-09
0.017783200000000002;-1.8927920000000003e-09;-6.540771e-09;-4.6479790000000004e-09
0.022525388;-2.1391900000000003e-09;-6.3111720000000005e-09;-4.171981000000001e-09
0.027267574000000003;-2.357589e-09;-6.008773000000001e-09;-3.6511830000000003e-09
0.032009762000000004;-2.620788e-09;-5.711974e-09;-3.0911860000000003e-09
0.036751948;-2.867187e-09;-5.347976000000001e-09;-2.480789e-09
0.041494136;-3.0575860000000004e-09;-4.933578e-09;-1.875991e-09
0.046236324;-3.2199850000000002e-09;-4.44078e-09;-1.2207940000000001e-09
0.050978512000000004;-3.455184e-09;-3.897582e-09;-4.4239800000000003e-10
0.055720696;-3.7351830000000005e-09;-3.3487850000000004e-09;3.86398e-10
0.060462884;-4.037582e-09;-2.794387e-09;1.2431940000000002e-09
0.065205068;-3.975982e-09;-2.0327910000000003e-09;1.943191e-09
0.069947256;-4.099182e-09;-1.6239920000000001e-09;2.475189e-09
0.074689448;-4.099182e-09;-1.080795e-09;3.0183860000000003e-09
0.079431632;-4.076782000000001e-09;-4.87197e-10;3.5895840000000004e-09
