Applied potential (V);WE current (A);WE current (A);WE current (A)
0.145822;-3.9759800000000004e-10;-4.14398e-10;-1.6799928e-11
0.150564;-4.4799800000000004e-10;-2.85598e-10;1.6239900000000002e-10
0.155306;-4.14398e-10;-1.8479900000000002e-10;2.2959800000000002e-10
0.160048;-4.2559800000000004e-10;-7.839966400000001e-11;3.4719800000000003e-10
0.164791;-3.86398e-10;2.7999880000000002e-11;4.14398e-10
0.169533;-3.41598e-10;1.45599e-10;4.87197e-10
0.17427499999999999;-2.9679800000000003e-10;2.5199800000000004e-10;5.487970000000001e-10
0.17901699999999998;-2.4639800000000003e-10;3.5279800000000005e-10;5.99197e-10
0.18375899999999998;-2.1279900000000002e-10;4.3119800000000006e-10;6.43997e-10
0.188501;-1.67999e-10;5.095970000000001e-10;6.775970000000001e-10
0.193244;-1.3439900000000001e-10;5.823970000000001e-10;7.16796e-10
0.197986;-8.9599664e-11;6.43997e-10;7.335960000000001e-10
0.202728;-2.2399916e-11;6.831970000000001e-10;7.055960000000001e-10
0.20747;3.9199868000000006e-11;7.335960000000001e-10;6.943960000000001e-10
0.21221199999999998;7.839968e-11;7.223960000000001e-10;6.43997e-10
0.21695499999999998;1.0079900000000001e-10;7.111960000000001e-10;6.103970000000001e-10
0.22169699999999998;1.17599e-10;6.775970000000001e-10;5.59997e-10
0.226439;1.45599e-10;6.383970000000001e-10;4.927970000000001e-10
0.231181;1.79199e-10;5.99197e-10;4.1999800000000003e-10
0.235923;2.07199e-10;5.43197e-10;3.35998e-10
0.240666;3.13598e-10;5.655970000000001e-10;2.5199800000000004e-10
0.245408;4.5359700000000004e-10;4.927970000000001e-10;3.9199832000000004e-11
0.25015;4.70397e-10;4.0319800000000005e-10;-6.7199712e-11
0.254892;4.70397e-10;2.35198e-10;-2.35198e-10
0.259634;5.207970000000001e-10;5.599976e-12;-5.15197e-10
0.264376;5.31997e-10;-1.45599e-10;-6.775970000000001e-10
0.269119;4.759970000000001e-10;-2.5199800000000004e-10;-7.27996e-10
0.27386099999999997;3.9759800000000004e-10;-3.7519800000000004e-10;-7.72796e-10
0.278603;2.9679800000000003e-10;-5.26397e-10;-8.231960000000001e-10
0.283345;3.0239800000000004e-10;-5.99197e-10;-9.01596e-10
0.288087;2.40798e-10;-6.775970000000001e-10;-9.183950000000001e-10
0.29283;2.07199e-10;-7.27996e-10;-9.35195e-10
0.297572;1.5119900000000002e-10;-6.88796e-10;-8.399960000000001e-10
0.30231399999999997;5.03998e-11;-7.27996e-10;-7.783960000000001e-10
Applied potential (V);WE current (A);WE current (A);WE current (A)
0.29994299999999996;-3.13598e-10;2.40798e-10;5.54397e-10
0.295201;-2.9679800000000003e-10;3.7519800000000004e-10;6.71997e-10
0.290458;-2.18399e-10;4.5919700000000005e-10;6.775970000000001e-10
0.28571599999999997;-2.18399e-10;5.03997e-10;7.223960000000001e-10
0.280974;-1.45599e-10;5.823970000000001e-10;7.27996e-10
0.276232;-8.959960800000001e-11;6.831970000000001e-10;7.72796e-10
0.27149;-6.7199696e-11;6.775970000000001e-10;7.44796e-10
0.266748;5.5999764000000006e-11;7.783960000000001e-10;7.223960000000001e-10
0.262005;5.5999764000000006e-11;7.335960000000001e-10;6.775970000000001e-10
0.25726299999999996;1.2319900000000002e-10;7.783960000000001e-10;6.55197e-10
0.252521;1.11999e-10;7.27996e-10;6.15997e-10
0.247779;1.28799e-10;6.775970000000001e-10;5.487970000000001e-10
0.24303699999999998;1.67999e-10;6.32797e-10;4.64797e-10
0.23829399999999998;2.0159900000000002e-10;5.87997e-10;3.86398e-10
0.23355199999999998;2.2399900000000002e-10;5.375970000000001e-10;3.13598e-10
0.22880999999999999;2.63198e-10;4.81597e-10;2.18399e-10
0.224068;3.0239800000000004e-10;4.14398e-10;1.11999e-10
0.219326;3.41598e-10;3.41598e-10;0.0
0.214583;3.7519800000000004e-10;2.5199800000000004e-10;-1.2319900000000002e-10
0.209841;3.7519800000000004e-10;1.45599e-10;-2.2959800000000002e-10
0.205099;3.7519800000000004e-10;3.3599856e-11;-3.41598e-10
0.20035699999999998;3.35998e-10;-8.399964e-11;-4.1999800000000003e-10
0.19561499999999998;2.85598e-10;-1.95999e-10;-4.81597e-10
0.190873;2.40798e-10;-2.9679800000000003e-10;-5.375970000000001e-10
0.18613;2.07199e-10;-3.8079800000000005e-10;-5.87997e-10
0.181388;1.8479900000000002e-10;-4.4799800000000004e-10;-6.32797e-10
0.176646;1.11999e-10;-5.487970000000001e-10;-6.60797e-10
0.171904;1.2319900000000002e-10;-5.823970000000001e-10;-7.055960000000001e-10
0.167162;2.7999882000000003e-11;-6.27197e-10;-6.55197e-10
0.16241899999999998;-1.6799952e-11;-6.55197e-10;-6.383970000000001e-10
0.15767699999999998;-6.159972800000001e-11;-6.60797e-10;-5.99197e-10
0.152935;-1.0079900000000001e-10;-6.55197e-10;-5.54397e-10
0.148193;-1.17599e-10;-6.215970000000001e-10;-5.03997e-10
0.143451;-1.3439900000000001e-10;-5.87997e-10;-4.5359800000000005e-10
0.138708;-1.5119900000000002e-10;-5.375970000000001e-10;-3.86398e-10
0.133966;-1.8479900000000002e-10;-4.98397e-10;-3.13598e-10
0.129224;-2.18399e-10;-4.5359800000000005e-10;-2.35198e-10
0.124482;-2.5199800000000004e-10;-4.0319800000000005e-10;-1.5119900000000002e-10
0.11974;-2.91198e-10;-3.35998e-10;-4.4799808e-11
0.11499799999999999;-3.1919800000000003e-10;-2.63198e-10;5.5999760000000004e-11
0.11025499999999999;-3.41598e-10;-1.8479900000000002e-10;1.56799e-10
0.105513;-3.4719800000000003e-10;-8.9599616e-11;2.57598e-10
0.100771;-2.91198e-10;6.1599736e-11;3.5279800000000005e-10
0.096029288;-3.5279800000000005e-10;2.1279900000000002e-10;5.655970000000001e-10
0.09128709600000001;-3.07998e-10;3.30398e-10;6.383970000000001e-10
0.08654492000000001;-2.5199800000000004e-10;4.08798e-10;6.60797e-10
0.081802728;-2.1279900000000002e-10;4.87197e-10;6.99996e-10
0.077060536;-1.79199e-10;5.43197e-10;7.223960000000001e-10
0.072318352;-1.3439900000000001e-10;5.99197e-10;7.335960000000001e-10
0.067576168;-7.839968e-11;6.55197e-10;7.335960000000001e-10
0.06283398;-2.2399916e-11;6.88796e-10;7.111960000000001e-10
0.058091792;3.9199812000000006e-11;7.223960000000001e-10;6.831970000000001e-10
0.05334960800000001;8.959960800000001e-11;7.391960000000001e-10;6.495970000000001e-10
0.048607416;1.17599e-10;7.27996e-10;6.103970000000001e-10
0.043865232000000004;1.3439900000000001e-10;6.88796e-10;5.54397e-10
0.039123044;1.3439900000000001e-10;6.383970000000001e-10;5.03997e-10
0.034380856;1.6239900000000002e-10;5.935970000000001e-10;4.3119800000000006e-10
0.029638670000000002;1.9039900000000003e-10;5.487970000000001e-10;3.58398e-10
0.024896482;2.35198e-10;5.03997e-10;2.6879800000000003e-10
0.020154296000000002;2.7439800000000004e-10;4.4239800000000003e-10;1.67999e-10
0.015412108;3.13598e-10;3.6959800000000003e-10;5.5999760000000004e-11
0.010669921;3.41598e-10;2.91198e-10;-5.0399784000000006e-11
0.005927733;3.6959800000000003e-10;2.0159900000000002e-10;-1.67999e-10
0.001185546;3.6959800000000003e-10;9.51996e-11;-2.7439800000000004e-10
-0.0035566400000000002;3.4719800000000003e-10;-1.6799928e-11;-3.63998e-10
-0.008298827;3.13598e-10;-1.28799e-10;-4.4239800000000003e-10
-0.013041015000000001;2.63198e-10;-2.35198e-10;-4.98397e-10
